2025-06-28 15:27:44 [INFO] Iniciando processo de startup da aplicação
2025-06-28 15:27:44 [INFO] Removendo containers antigos...
2025-06-28 15:27:45 [INFO] Construindo imagens Docker...
2025-06-28 15:30:33 [INFO] Iniciando serviços...
2025-06-28 15:30:48 [INFO] Aguardando serviço db iniciar (tentativa 1/30)
2025-06-28 15:30:50 [INFO] Aguardando serviço db iniciar (tentativa 2/30)
2025-06-28 15:30:52 [INFO] Aguardando serviço db iniciar (tentativa 3/30)
2025-06-28 15:30:55 [INFO] Aguardando serviço db iniciar (tentativa 4/30)
2025-06-28 15:30:57 [INFO] Aguardando serviço db iniciar (tentativa 5/30)
2025-06-28 15:30:59 [INFO] Aguardando serviço db iniciar (tentativa 6/30)
2025-06-28 15:31:01 [INFO] Aguardando serviço db iniciar (tentativa 7/30)
2025-06-28 15:31:04 [INFO] Aguardando serviço db iniciar (tentativa 8/30)
2025-06-28 15:31:06 [INFO] Aguardando serviço db iniciar (tentativa 9/30)
2025-06-28 15:31:08 [INFO] Aguardando serviço db iniciar (tentativa 10/30)
2025-06-28 15:31:11 [INFO] Aguardando serviço db iniciar (tentativa 11/30)
2025-06-28 15:31:13 [INFO] Aguardando serviço db iniciar (tentativa 12/30)
2025-06-28 15:31:15 [INFO] Aguardando serviço db iniciar (tentativa 13/30)
2025-06-28 15:31:18 [INFO] Aguardando serviço db iniciar (tentativa 14/30)
2025-06-28 15:31:20 [INFO] Aguardando serviço db iniciar (tentativa 15/30)
2025-06-28 15:31:22 [INFO] Aguardando serviço db iniciar (tentativa 16/30)
2025-06-28 15:31:24 [INFO] Aguardando serviço db iniciar (tentativa 17/30)
2025-06-28 15:31:27 [INFO] Aguardando serviço db iniciar (tentativa 18/30)
2025-06-28 15:31:29 [INFO] Aguardando serviço db iniciar (tentativa 19/30)
2025-06-28 15:31:31 [INFO] Aguardando serviço db iniciar (tentativa 20/30)
2025-06-28 15:31:34 [INFO] Aguardando serviço db iniciar (tentativa 21/30)
2025-06-28 15:31:36 [INFO] Aguardando serviço db iniciar (tentativa 22/30)
2025-06-28 15:31:38 [INFO] Aguardando serviço db iniciar (tentativa 23/30)
2025-06-28 15:31:41 [INFO] Aguardando serviço db iniciar (tentativa 24/30)
2025-06-28 15:31:43 [INFO] Aguardando serviço db iniciar (tentativa 25/30)
2025-06-28 15:31:45 [INFO] Aguardando serviço db iniciar (tentativa 26/30)
2025-06-28 15:31:48 [INFO] Aguardando serviço db iniciar (tentativa 27/30)
2025-06-28 15:31:50 [INFO] Aguardando serviço db iniciar (tentativa 28/30)
2025-06-28 15:31:52 [INFO] Aguardando serviço db iniciar (tentativa 29/30)
2025-06-28 15:31:54 [INFO] Aguardando serviço db iniciar (tentativa 30/30)
